,cc-pwCV5Z,aug-cc-pvt+dz,aug-pc-3,Def2-TZVP,Def2-QZVP,aug-cc-pvd+dz,Def2-TZVPPD,Def2-QZVPPD,Def2-SVP,aug-pc-0,aug-cc-pv5+dz,aug-pc-4,cc-pwCVTZ,cc-pwCVQZ,aug-pc-1,aug-cc-pvqz,cc-pwCVDZ,aug-cc-pvtz,aug-pc-2,aug-cc-pvq+dz,aug-cc-pv5z,aug-cc-pvdz
11_Na.out,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
12_Mg.out,-0.004953669,-0.004807573,-0.004719713,-0.004414712,-0.004875488,-0.004369871,-0.004420602,-0.00487586,-0.003996624,-0.00347941,0.0,-0.004810449,-0.004873982,-0.004926082,-0.003572646,-0.004886304,-0.004432926,-0.004808647,-0.004380411,-0.004887267,-0.004909635,-0.004367836
13_Al.out,-0.008227289,-0.00793517,-0.008015791,-0.007641224,-0.008182845,-0.006902056,-0.007907027,-0.008182658,-0.006596411,-0.003646463,-0.008229669,-0.008147895,-0.00803034,-0.008192234,-0.006506046,-0.008021554,-0.007128192,-0.007873304,-0.007434012,-0.008065418,-0.008227745,-0.006906829
14_Si.out,-0.01173206,-0.011389365,-0.011474839,-0.010958139,-0.011679507,-0.009786212,-0.011385882,-0.011677071,-0.009455032,-0.002889425,-0.011726941,-0.011614026,-0.011504983,-0.01169508,-0.009413303,-0.011518484,-0.010216964,-0.01126065,-0.010880712,-0.011587447,-0.011726387,-0.009803274
15_P.out,-0.015071409,-0.014631255,-0.01481631,-0.014130014,-0.015009616,-0.012585464,-0.01469216,-0.015005054,-0.012006148,-0.001653295,-0.015061126,-0.014952251,-0.014819955,-0.015032212,-0.012369671,-0.014812834,-0.013159848,-0.014427145,-0.014263294,-0.014919567,-0.015055783,-0.012585555
16_S.out,-0.022362313,-0.02162903,-0.022031721,-0.020867452,-0.022229317,-0.018174591,-0.02168089,-0.022220409,-0.017033846,-0.003465834,-0.022344447,-0.022223354,-0.021847117,-0.022286148,-0.017979586,-0.022014792,-0.018745157,-0.021297597,-0.021176702,-0.022191746,-0.022336821,-0.018178798
17_Cl.out,-0.029396867,-0.028421158,-0.029060171,-0.027350681,-0.02917787,-0.024054276,-0.028416871,-0.02917209,-0.022440673,-0.004952529,-0.029346644,-0.029264112,-0.028617093,-0.029287682,-0.023885264,-0.028922421,-0.024410254,-0.027930115,-0.027979209,-0.029179629,-0.029331437,-0.024008033
18_Ar.out,-0.035882114,-0.034694261,-0.035516295,-0.033273694,-0.035559848,-0.029789339,-0.034555527,-0.035561866,-0.02864492,-0.006416816,-0.035769879,-0.035745631,-0.034795911,-0.035712831,-0.029484543,-0.035261931,-0.02969651,-0.034012385,-0.034106749,-0.035611053,-0.035751626,-0.029649118
19_K.out,0.0,,-0.029288458,-0.029295908,-0.029658042,,-0.029315687,-0.031607276,-0.013246414,-0.000558268,,-0.031047056,0.0,0.0,-0.020571303,,0.0,,-0.02755015,,,
20_Ca.out,0.0,,-0.036799058,-0.031637396,-0.033658335,,-0.031637396,-0.035626459,-0.024108271,-0.002604004,,-0.038776893,-0.040226789,-0.041732606,-0.027565299,,-0.034619361,,-0.031688193,,,
21_Sc.out,-0.046840867,-0.03875119,-0.041055727,-0.034430649,-0.040007219,-0.030846696,-0.036459837,-0.040381364,-0.028994301,0.0,-0.044477498,-0.041903979,-0.046301659,-0.046693935,-0.030977358,-0.041412263,0.0,-0.03875119,-0.03931332,-0.041412263,-0.044477469,-0.030846696
22_Ti.out,-0.050282902,-0.043116601,-0.043981293,-0.037456559,-0.044033592,-0.029326016,-0.041737677,-0.044287686,-0.030438262,0.0,-0.048693494,-0.045152512,-0.049958387,-0.050081878,-0.033353219,-0.046283729,0.0,-0.043116601,-0.042040696,-0.046283729,-0.048693507,-0.029326016
23_V.out,-0.053771676,-0.046817496,-0.047205308,-0.040707261,-0.047179351,-0.033137712,-0.044327171,-0.047479857,-0.032671331,0.0,-0.052611146,-0.048663207,-0.052889218,-0.053749823,-0.031591685,-0.051398742,0.0,-0.046817496,-0.042947431,-0.051398742,-0.052611152,-0.033137712
24_Cr.out,-0.049705185,-0.043194801,-0.043066732,-0.036711648,-0.043223864,-0.03225518,-0.04099774,-0.043502087,-0.029244671,0.0,-0.048786717,-0.044532042,-0.048983223,-0.049517496,-0.029366295,-0.046915718,0.0,-0.043194801,-0.040401537,-0.046915718,-0.048786717,-0.03225518
25_Mn.out,-0.060025144,-0.053191948,-0.054199734,-0.045706032,-0.052788172,-0.042999009,-0.051478051,-0.019736484,-0.035618173,0.0,-0.05913281,-0.055655171,-0.058764306,-0.059669725,-0.037344009,-0.057168398,0.0,-0.053191948,-0.049147124,-0.057168398,-0.059132799,-0.042999009
26_Fe.out,-0.068550315,-0.061716517,-0.063303346,-0.052089022,-0.061699225,-0.051174161,-0.059152878,-0.062685282,-0.040076228,0.0,-0.067811275,-0.062812118,-0.066792081,-0.068106922,-0.041681162,-0.06601028,0.0,-0.061716517,-0.056411278,-0.06601028,-0.06781131,-0.051174161
27_Co.out,-0.075229254,-0.068707478,-0.067578931,-0.056871266,-0.065874817,-0.058432785,-0.065498758,-0.066882628,-0.042201935,0.0,-0.074991273,-0.069687727,-0.073389661,-0.074708026,-0.045158606,-0.073210393,0.0,-0.068707478,-0.06246738,-0.073210375,-0.074991269,-0.058432785
28_Ni.out,-0.083628474,-0.074797656,-0.075405135,-0.060576752,-0.072884279,-0.065441197,-0.070951886,-0.074231993,-0.045884214,0.0,-0.081199718,-0.07829103,-0.079707353,-0.082813094,-0.048723373,-0.079359024,0.0,-0.074797656,-0.06970446,-0.079359012,-0.081199717,-0.065441197
29_Cu.out,-0.08950227,-0.081823813,-0.080817336,-0.063996818,-0.076664225,-0.070964786,-0.076228868,-0.078057926,-0.047091981,0.0,-0.089132963,-0.08415853,-0.084786351,-0.088556202,-0.051800495,-0.087488,0.0,-0.081823813,-0.077399093,-0.087488,-0.089132963,-0.070964786
30_Zn.out,-0.093475063,-0.0875199,-0.084341849,-0.06834325,-0.082036173,-0.075130353,-0.080670585,-0.083399268,-0.050896283,0.0,-0.093145874,-0.087917738,-0.089042113,-0.09258564,-0.054354127,-0.091542722,0.0,-0.0875199,-0.077515062,-0.091542722,-0.093145874,-0.075130353
31_Ga.out,-0.070696056,-0.016703891,-0.041942416,-0.020007768,-0.026093188,-0.009625202,-0.020032087,-0.066571342,-0.014973928,-0.004851877,-0.031821816,-0.06649384,-0.067775214,-0.070245614,-0.00926309,-0.02417286,-0.04655103,-0.016703892,-0.017628502,-0.02417286,-0.031821818,-0.009625202
32_Ge.out,-0.07209194,-0.019643908,-0.042008007,-0.021699602,-0.02756597,-0.012012481,-0.021721319,-0.068213668,-0.01609319,-0.003808687,-0.032736592,-0.068029867,-0.069285528,-0.071638575,-0.011480861,-0.025940082,-0.049287461,-0.019643908,-0.01977897,-0.025940083,-0.032736591,-0.012012481
33_As.out,-0.074327016,-0.022306136,-0.042691536,-0.023846192,-0.029973868,-0.014468674,-0.023854739,-0.070530545,-0.017752156,-0.002167825,-0.034741992,-0.070140487,-0.071607302,-0.073883144,-0.013499666,-0.028544247,-0.052301165,-0.022306136,-0.021810488,-0.028544247,-0.034741992,-0.014468674
34_Se.out,-0.08060235,-0.028634751,-0.048767702,-0.029612117,-0.036004652,-0.01967246,-0.029605029,-0.076741963,-0.022400287,-0.002456781,-0.040690888,-0.076513768,-0.077597366,-0.080111225,-0.018710813,-0.03476398,-0.057903799,-0.028634751,-0.028305282,-0.034763981,-0.04069089,-0.01967246
35_Br.out,-0.087437511,-0.035943852,-0.054777474,-0.036406039,-0.043302676,-0.025218449,-0.036394215,-0.083593609,-0.027770927,-0.002766557,-0.048042419,-0.083212272,-0.084235391,-0.086927514,-0.024394707,-0.042205225,-0.06417804,-0.035943852,-0.035001396,-0.042205225,-0.04804242,-0.025218449
36_Kr.out,-0.094393082,-0.043190588,-0.061927634,-0.042882356,-0.050644205,-0.031414347,-0.042860444,-0.090560491,-0.033498106,-0.003130713,-0.0555492,-0.090800317,-0.090943944,-0.093858212,-0.030400477,-0.049656882,-0.070698089,-0.043190588,-0.04173374,-0.049656882,-0.0555492,-0.031414347
37_Rb.out,0.0,,,-0.019018001,-0.035445001,,-0.021954239,-0.036035946,-0.014815038,,,,0.0,0.0,,,0.0,,,,,
38_Sr.out,0.0,,,-0.038401134,-0.043908824,,-0.04203663,-0.044879322,-0.018134082,,,,0.0,0.0,,,0.0,,,,,
39_Y.out,0.0,,,-0.044506281,-0.050271867,,-0.047373186,-0.051353675,-0.033245284,,,,0.0,0.0,,-0.051662722,0.0,-0.049444709,,,-0.052271017,0.0
40_Zr.out,-0.058398835,,,-0.04926732,-0.052857986,,-0.054352958,-0.053632613,-0.040380524,,,,-0.057408069,-0.055674254,,-0.056849382,-0.053651934,-0.055752133,,,-0.055165019,-0.04476703
41_Nb.out,-0.055284613,,,-0.046321309,-0.05239938,,-0.051931394,-0.052678242,-0.038376955,,,,-0.054497877,-0.055088018,,-0.053593689,-0.049241372,-0.052304305,,,-0.054565395,-0.042545281
42_Mo.out,-0.058429192,,,-0.050355871,-0.055779633,,-0.055393772,-0.055916748,-0.042649015,,,,-0.057642976,-0.058222869,,-0.056729574,-0.052347181,-0.055386626,,,-0.057763213,-0.046926227
43_Tc.out,-0.070652865,,,-0.062626663,-0.070652865,,-0.068249064,-0.069260197,-0.054193975,,,,-0.070652865,-0.070652865,,-0.071058855,-0.070652865,-0.068413502,,,-0.072138473,-0.059223016
44_Ru.out,-0.083468466,,,-0.069468843,-0.078971506,,-0.078555536,-0.080202524,-0.061501604,,,,-0.082967112,-0.082997257,,-0.081786375,-0.072225336,-0.078725196,,,-0.082322484,-0.069221556
45_Rh.out,-0.095153933,,,-0.075387083,-0.087575834,,-0.085958942,-0.088516009,-0.062661299,,,,-0.092376492,-0.094541982,,-0.091412949,-0.08013581,-0.088369818,,,-0.094727699,-0.08063814
46_Pd.out,-0.10987402,,,-0.084577656,-0.102980157,,-0.10047609,-0.104756551,-0.070964798,,,,-0.105459269,-0.108991656,,-0.108215321,-0.09064977,-0.104496429,,,-0.10967153,-0.093844431
47_Ag.out,-0.111230708,,,-0.08635798,-0.103650731,,-0.101512971,-0.105186075,-0.0726324,,,,-0.106986282,-0.11031643,,-0.109425818,-0.091828803,-0.105807164,,,-0.11094983,-0.095020269
48_Cd.out,-0.119560344,,,-0.094683536,-0.112939151,,-0.110468948,-0.114568939,-0.083403691,,,,-0.115190607,-0.118603246,,-0.117908779,-0.099210159,-0.114015277,,,-0.119388338,-0.103672022
49_In.out,-0.098941957,,,-0.070915789,-0.091987773,,-0.070935357,-0.092020182,-0.012050483,,,,-0.095894973,-0.098490845,,-0.038727577,-0.079015112,-0.02305853,,,-0.053483827,-0.010524232
50_Sn.out,-0.101437289,,,-0.073785092,-0.095210693,,-0.073797224,-0.095243298,-0.013780212,,,,-0.098340921,-0.100957715,,-0.040362058,-0.083621398,-0.025575875,,,-0.053854818,-0.012653886
51_Sb.out,-0.105304596,,,-0.077441039,-0.099677503,,-0.077425567,-0.099707934,-0.015523249,,,,-0.102259993,-0.104797905,,-0.043926167,-0.088638195,-0.029008561,,,-0.056467058,-0.015002064
52_Te.out,-0.112629513,,,-0.100727632,-0.106710519,,-0.100686664,-0.106754702,-0.019707356,,,,-0.109192314,-0.11204915,,-0.0491756,-0.095300183,-0.035372053,,,-0.061786384,-0.019663379
53_I.out,-0.122687252,,,-0.110084866,-0.115480986,,-0.110017961,-0.115507595,-0.025606123,,,,-0.118744667,-0.122020547,,-0.059987937,-0.104879996,-0.044454877,,,-0.071714177,-0.025037967
54_Xe.out,-0.129116217,,,-0.118952976,-0.123890582,,-0.118882195,-0.123930109,-0.118952976,,,,-0.124917586,-0.128394186,,-0.067905959,-0.110436778,-0.052846076,,,-0.078858945,-0.030938036
55_Cs.out,0.0,,,-0.027333585,-0.037514446,,-0.032886292,-0.037998627,-0.010439575,,,,0.0,0.0,,,0.0,,,,,
56_Ba.out,0.0,,,-0.040628801,-0.042681377,,-0.040628801,-0.043556545,-0.019394329,,,,0.0,0.0,,,0.0,,,,,
57_La.out,0.0,,,-0.045806884,-0.050373658,,-0.050022193,-0.051369913,-0.03265415,,,,0.0,0.0,,,0.0,,,,,
72_Hf.out,-0.06275778,,,-0.051543128,-0.059752202,,-0.055065796,-0.057458984,-0.039761859,,,,-0.061962614,-0.062524197,,-0.061311837,-0.058870395,-0.058804651,,,-0.062188333,-0.047264243
73_Ta.out,-0.066429017,,,-0.056047964,-0.065912407,,-0.062262757,-0.066426969,-0.045913674,,,,-0.06800827,-0.068703024,,-0.065363761,-0.063981846,-0.063362636,,,-0.066150156,-0.050959317
74_W.out,-0.071788629,,,-0.059858583,-0.068501488,,-0.069649226,-0.071531304,-0.047737272,,,,-0.070476319,-0.073681593,,-0.070652666,-0.064954906,-0.069164235,,,-0.071429106,-0.058900731
75_Re.out,-0.079431429,,,-0.064360331,-0.076064916,,-0.074743205,-0.076386058,-0.05533634,,,,-0.078103925,-0.078990045,,-0.078201029,-0.071174657,-0.076633696,,,-0.079131967,-0.063766301
76_Os.out,-0.093957325,,,-0.075275499,-0.089924241,,-0.08855839,-0.089721853,-0.070084212,,,,-0.091929745,-0.093374964,,-0.092650585,-0.084773918,-0.090756335,,,-0.093453269,-0.076968547
77_Ir.out,-0.107789442,,,-0.088607571,-0.102407957,,-0.101147068,-0.102988237,-0.079635456,,,,-0.108275428,-0.1074195,,-0.106408225,-0.09701631,-0.104314383,,,-0.107293993,-0.090012838
78_Pt.out,-0.121016195,,,-0.097140811,-0.11456319,,-0.112897271,-0.115399197,-0.085461493,,,,-0.117929404,-0.120175036,,-0.119567642,-0.105765329,-0.117157478,,,-0.120496254,-0.102307919
79_Au.out,-0.132676589,,,-0.107028769,-0.125484507,,-0.123891852,-0.12662098,-0.097718185,,,,-0.128909101,-0.131709582,,-0.131041087,-0.115344067,-0.128469285,,,-0.132188675,-0.113071868
80_Hg.out,-0.146338254,,,-0.120784873,-0.138637614,,-0.137620554,-0.13980641,-0.111510714,,,,-0.142415285,-0.145308355,,-0.144687642,-0.128541255,-0.141878399,,,-0.145856202,-0.127055861
81_Tl.out,-0.120691798,,,-0.102154097,-0.11269254,,-0.102220753,-0.112736322,-0.013695179,,,,-0.118453901,-0.120240606,,-0.065493792,-0.099798759,-0.040191804,,,-0.084899979,-0.012983345
82_Pb.out,-0.122737981,,,-0.103946846,-0.115717022,,-0.104012371,-0.115763336,-0.014680623,,,,-0.120450268,-0.122260302,,-0.064014924,-0.102836079,-0.038447892,,,-0.083602633,-0.014557955
83_Bi.out,-0.126291647,,,-0.107047511,-0.120667179,,-0.107089132,-0.120685689,-0.016041769,,,,-0.123959971,-0.125791701,,-0.067603753,-0.107452157,-0.040466119,,,-0.084811606,-0.016395097
84_Po.out,-0.134574973,,,-0.121412982,-0.12768695,,-0.121452761,-0.127726944,-0.02006187,,,,-0.131737766,-0.133944574,,-0.0698429,-0.114792325,-0.045239411,,,-0.089796432,-0.020608402
85_At.out,-0.143460346,,,-0.131054666,-0.136114419,,-0.131042714,-0.136178186,-0.024598383,,,,-0.140135134,-0.142757996,,-0.08007244,-0.122691251,-0.055034927,,,-0.099039998,-0.025560759
86_Rn.out,-0.152531703,,,-0.138985908,-0.145858287,,-0.138950323,-0.145910908,-0.138985908,,,,-0.148707377,-0.151765491,,-0.090981541,-0.131015971,-0.065861808,,,-0.108087062,-0.030968794
